"Rank","City","State","Credit Score"
"160","Randolph","New Jersey","750"
"161","Hillsborough","New Jersey","750"
"162","Marblehead","Massachusetts","750"
"163","Walnut Creek","California","750"
"164","Lakeville","Minnesota","750"
"165","Avon Lake","Ohio","750"
"166","Oakland Gardens","New York","750"
"167","Westwood","New Jersey","750"
"168","Burke","Virginia","750"
"169","Severna Park","Maryland","750"
"170","Princeton","New Jersey","750"
"171","El Dorado Hills","California","750"
"172","Glen Ellyn","Illinois","750"
"173","Ponte Vedra Beach","Florida","750"
"174","Birmingham","Michigan","750"
"175","Ballwin","Missouri","750"
"176","Orland Park","Illinois","749"
"177","Webster","New York","749"
"178","Prior Lake","Minnesota","749"
"179","Albany","California","749"
"180","Bellevue","Washington","749"
"181","Doylestown","Pennsylvania","749"
"182","Chalfont","Pennsylvania","749"
"183","Plymouth","Michigan","749"
"184","Arlington Heights","Illinois","749"
"185","Caldwell","New Jersey","749"
"186","Bryn Mawr","Pennsylvania","749"
"187","Springboro","Ohio","749"
"188","Dublin","California","749"
"189","De Pere","Wisconsin","749"
"190","Eagle","Idaho","749"
"191","Lititz","Pennsylvania","749"
"192","Warrington","Pennsylvania","748"
"193","Andover","Minnesota","748"
"194","New City","New York","748"
"195","Yorktown Heights","New York","748"
"196","Venice","Florida","748"
"197","Wheaton","Illinois","748"
"198","Wantagh","New York","748"
"199","Commack","New York","748"
"200","Sequim","Washington","748"
"201","Westlake Village","California","748"
"202","Sunnyvale","California","748"
"203","Forest Hills","New York","748"
"204","North Wales","Pennsylvania","748"
"205","Hugo","Minnesota","748"
"206","Savage","Minnesota","747"
"207","Northfield","Minnesota","747"
"208","South Windsor","Connecticut","747"
"209","Burlington","Massachusetts","747"
"210","Southampton","Pennsylvania","747"
"211","Westlake","Ohio","747"
"212","Orchard Park","New York","747"
"213","Summit","New Jersey","747"
"214","Rocky River","Ohio","747"
"215","Shrewsbury","Massachusetts","747"
"216","Canfield","Ohio","747"
"217","East Brunswick","New Jersey","747"
"218","Bronxville","New York","747"
"219","Mason","Ohio","747"
"220","Mokena","Illinois","747"
"221","La Jolla","California","747"
"222","Bethel Park","Pennsylvania","747"
"223","Strongsville","Ohio","747"
"224","Trabuco Canyon","California","747"
"225","Dublin","Ohio","747"
"226","Vernon Hills","Illinois","747"
"227","Seal Beach","California","747"
"228","Chapel Hill","North Carolina","746"
"229","Hudson","Wisconsin","746"
"230","Port Washington","New York","746"
"231","West Linn","Oregon","746"
"232","Okemos","Michigan","746"
"233","Osseo","Minnesota","746"
"234","Cary","North Carolina","746"
"235","Oconomowoc","Wisconsin","746"
"236","Flower Mound","Texas","746"
"237","Lancaster","New York","746"
"238","Essex Junction","Vermont","746"
"239","Fair Lawn","New Jersey","746"
"240","Melrose","Massachusetts","746"
"241","Olney","Maryland","746"
"242","Smithtown","New York","746"
"243","Troy","Michigan","746"
"244","Yorba Linda","California","746"
"245","Ankeny","Iowa","746"
"246","Flemington","New Jersey","745"
"247","Medford","New Jersey","745"
"248","Morton Grove","Illinois","745"
"249","Caledonia","Michigan","745"
"250","West Chester","Pennsylvania","745"
"251","East Northport","New York","745"
"252","Golden","Colorado","745"
"253","Southington","Connecticut","745"
"254","Macungie","Pennsylvania","745"
"255","Littleton","Colorado","745"
"256","Forest","Virginia","745"
"257","Lone Tree","Colorado","745"
"258","Lewis Center","Ohio","745"
"259","Aurora","Ohio","745"
"260","Wayne","New Jersey","744"
"261","Haymarket","Virginia","744"
"262","Rochester","Michigan","744"
"263","Ashburn","Virginia","744"
"264","Scotch Plains","New Jersey","744"
"265","Anacortes","Washington","744"
"266","Hoboken","New Jersey","744"
"267","Urbandale","Iowa","744"
"268","Palm City","Florida","744"
"269","Waukee","Iowa","744"
"270","Wakefield","Rhode Island","744"
"271","Naperville","Illinois","744"
"272","Cave Creek","Arizona","744"
"273","Kenmore","Washington","744"
"274","Seaford","New York","744"
"275","Franklin","Massachusetts","743"
"276","Windsor","Colorado","743"
"277","Broomall","Pennsylvania","743"
"278","Sebastopol","California","743"
"279","El Cerrito","California","743"
"280","Washington","Michigan","743"
"281","Boulder","Colorado","743"
"282","Aptos","California","743"
"283","Onalaska","Wisconsin","743"
"284","Springfield","Pennsylvania","743"
"285","Wakefield","Massachusetts","743"
"286","Downingtown","Pennsylvania","742"
"287","Willowbrook","Illinois","742"
"288","Encinitas","California","742"
"289","Whitestone","New York","742"
"290","Jenison","Michigan","742"
"291","Davis","California","742"
"292","Sykesville","Maryland","742"
"293","Havertown","Pennsylvania","742"
"294","Kirkland","Washington","742"
"295","Rockford","Michigan","742"
"296","North Royalton","Ohio","742"
"297","Arcadia","California","742"
"298","Mililani","Hawaii","742"
"299","Calabasas","California","742"
"300","Cerritos","California","742"
"301","Sun City","Arizona","742"
"302","Kaysville","Utah","742"
"303","Agoura Hills","California","742"
"304","Argyle","Texas","742"
"305","Apex","North Carolina","742"
"306","Fremont","California","742"
"307","Media","Pennsylvania","742"
"308","Wilmington","Massachusetts","741"
"309","Trumbull","Connecticut","741"
"310","Floral Park","New York","741"
"311","South Pasadena","California","741"
"312","Chantilly","Virginia","741"
"313","Bayside","New York","741"
"314","Coppell","Texas","741"
"315","North Andover","Massachusetts","741"
"316","Folsom","California","741"
"317","Walnut","California","741"
"318","Madison","Mississippi","741"
"319","Farmington","Utah","741"
"320","Grand Island","New York","741"
"321","Porter Ranch","California","740"
"322","Commerce Township","Michigan","740"
"323","Edmonds","Washington","740"
"324","Franklin","Tennessee","740"
"325","Bellmore","New York","740"
"326","Parsippany","New Jersey","740"
"327","Rockaway","New Jersey","740"
"328","Mukilteo","Washington","740"
"329","Rocky Hill","Connecticut","740"
"330","Saint Charles","Illinois","740"
"331","Carlsbad","California","740"
"332","Circle Pines","Minnesota","740"
"333","Rochester","Minnesota","740"
"334","West Chester","Ohio","740"
"335","Zeeland","Michigan","740"
"336","Parker","Colorado","740"
"337","Rockville Centre","New York","740"
"338","Moorestown","New Jersey","740"
"339","Bettendorf","Iowa","740"
"340","Fairfield","Connecticut","740"
"341","Huntington","New York","740"
"342","Frankfort","Illinois","740"
"343","Champlin","Minnesota","740"
"344","Watertown","Massachusetts","739"
"345","Rosemount","Minnesota","739"
"346","Saint Johns","Florida","739"
"347","Irwin","Pennsylvania","739"
"348","Clifton Park","New York","739"
"349","East Meadow","New York","739"
"350","Bothell","Washington","739"
"351","Mechanicsburg","Pennsylvania","739"
"352","New Lenox","Illinois","739"
"353","Massapequa","New York","738"
"354","Saint Joseph","Michigan","738"
"355","Ann Arbor","Michigan","738"
"356","South Lyon","Michigan","738"
"357","Northfield","Ohio","738"
"358","Brighton","Michigan","738"
"359","Lake Saint Louis","Missouri","738"
"360","Westfield","Indiana","738"
"361","Laguna Beach","California","738"
"362","Kennett Square","Pennsylvania","738"
"363","Milpitas","California","738"
"364","Arroyo Grande","California","738"
"365","Vestal","New York","738"
"366","San Mateo","California","738"
"367","Bonita Springs","Florida","738"
"368","Campbell","California","738"
"369","La Crescenta","California","738"
"370","Collierville","Tennessee","738"
"371","West Roxbury","Massachusetts","738"
"372","Canton","Massachusetts","738"
"373","Cedar Falls","Iowa","737"
"374","Langhorne","Pennsylvania","737"
"375","Fairfax","Virginia","737"
"376","Grayslake","Illinois","737"
"377","Warminster","Pennsylvania","737"
"378","Peachtree City","Georgia","737"
"379","Sugar Land","Texas","737"
"380","Novi","Michigan","737"
"381","Novato","California","737"
"382","Clarks Summit","Pennsylvania","737"
"383","Fishers","Indiana","737"
"384","Camas","Washington","737"
"385","Uniontown","Ohio","737"
"386","Coronado","California","737"
"387","West Bloomfield","Michigan","737"
"388","Santa Clara","California","737"
"389","Bismarck","North Dakota","737"
"390","Englishtown","New Jersey","736"
"391","Sylvania","Ohio","736"
"392","Kailua","Hawaii","736"
"393","La Grange","Illinois","736"
"394","Jasper","Indiana","736"
"395","Chapin","South Carolina","736"
"396","Oceanside","New York","736"
"397","Grosse Pointe","Michigan","736"
"398","Park City","Utah","736"
"399","Redondo Beach","California","736"
"400","Temple City","California","736"
"401","Mount Airy","Maryland","736"
"402","Hummelstown","Pennsylvania","736"
"403","Latham","New York","736"
"404","Waxhaw","North Carolina","736"
"405","Castro Valley","California","736"
"406","Reston","Virginia","736"
"407","Macomb","Michigan","736"
"408","Munster","Indiana","736"
"409","Chaska","Minnesota","736"
"410","Kaukauna","Wisconsin","736"
"411","West Hartford","Connecticut","736"
"412","Glen Allen","Virginia","736"
"413","Arlington","Virginia","735"
"414","Newbury Park","California","735"
"415","Arnold","Maryland","735"
"416","Cortlandt Manor","New York","735"
"417","Cambridge","Massachusetts","735"
"418","Marshfield","Wisconsin","735"
"419","Bethpage","New York","735"
"420","Stoneham","Massachusetts","735"
"421","Loveland","Ohio","735"
"422","Phoenixville","Pennsylvania","735"
"423","Irvine","California","735"
"424","State College","Pennsylvania","735"
"425","Morristown","New Jersey","735"
"426","Canonsburg","Pennsylvania","735"
"427","Cary","Illinois","735"
"428","Sparta","New Jersey","735"
"429","Laguna Niguel","California","735"
"430","Castle Rock","Colorado","735"
"431","Fountain Valley","California","735"
"432","King Of Prussia","Pennsylvania","734"
"433","Hartford","Wisconsin","734"
"434","Gig Harbor","Washington","734"
"435","Alpharetta","Georgia","734"
"436","Edison","New Jersey","734"
"437","Maineville","Ohio","734"
"438","Milton","Massachusetts","734"
"439","Lansdale","Pennsylvania","734"
"440","Alexandria","Minnesota","734"
"441","South Jordan","Utah","734"
"442","Diamond Bar","California","734"
"443","Manheim","Pennsylvania","734"
"444","Broomfield","Colorado","734"
"445","Bella Vista","Arkansas","734"
"446","Perkasie","Pennsylvania","733"
"447","Springfield","Virginia","733"
"448","Crestwood","Kentucky","733"
"449","Milford","Michigan","733"
"450","Merrimack","New Hampshire","733"
"451","Mansfield","Massachusetts","733"
"452","Ladera Ranch","California","733"
"453","Washington","Illinois","733"
"454","Sherwood","Oregon","733"
"455","Exeter","New Hampshire","733"
"456","Prescott","Arizona","733"
"457","Westerville","Ohio","733"
"458","Berkeley","California","733"
"459","Tewksbury","Massachusetts","733"
"460","Sun Prairie","Wisconsin","733"
"461","Suffern","New York","733"
"462","West Islip","New York","732"
"463","Poway","California","732"
"464","Clemmons","North Carolina","732"
"465","West Fargo","North Dakota","732"
"466","Grandville","Michigan","732"
"467","Marlton","New Jersey","732"
"468","Neenah","Wisconsin","732"
"469","Palo Alto","California","732"
"470","San Francisco","California","732"
"471","Pacifica","California","732"
"472","Dyer","Indiana","732"
"473","Newington","Connecticut","732"
"474","Morrisville","North Carolina","732"
"475","Middletown","New Jersey","732"
"476","Wethersfield","Connecticut","732"
"477","Mission Viejo","California","732"
"478","West Bend","Wisconsin","732"
"479","Murrells Inlet","South Carolina","732"
"480","Odessa","Florida","732"
"481","Canton","Michigan","732"
"482","Livonia","Michigan","732"
"483","Mount Prospect","Illinois","732"
"484","Greenwich","Connecticut","732"
"485","Elk Grove Village","Illinois","732"
"486","Lafayette","Colorado","732"
"487","River Falls","Wisconsin","732"
"488","Portsmouth","New Hampshire","731"
"489","Mamaroneck","New York","731"
"490","Perrysburg","Ohio","731"
"491","Thousand Oaks","California","731"
"492","Midlothian","Virginia","731"
"493","Schererville","Indiana","731"
"494","Mount Joy","Pennsylvania","731"
"495","Suwanee","Georgia","731"
"496","Bozeman","Montana","731"
"497","Fort Mill","South Carolina","731"
"498","Gainesville","Virginia","731"
"499","Yorktown","Virginia","731"
"500","Helotes","Texas","731"
