City,State,Credit Score
Bella Vista,Arkansas,734.0
Perkasie,Pennsylvania,733.0
Springfield,Virginia,733.0
Crestwood,Kentucky,733.0
Milford,Michigan,733.0
Merrimack,New Hampshire,733.0
Mansfield,Massachusetts,733.0
Ladera Ranch,California,733.0
Washington,Illinois,733.0
Sherwood,Oregon,733.0
Exeter,New Hampshire,733.0
Prescott,Arizona,733.0
Westerville,Ohio,733.0
Berkeley,California,733.0
Tewksbury,Massachusetts,733.0
Sun Prairie,Wisconsin,733.0
Suffern,New York,733.0
West Islip,New York,732.0
Poway,California,732.0
Clemmons,North Carolina,732.0
West Fargo,North Dakota,732.0
Grandville,Michigan,732.0
Marlton,New Jersey,732.0
Neenah,Wisconsin,732.0
Palo Alto,California,732.0
San Francisco,California,732.0
Pacifica,California,732.0
Dyer,Indiana,732.0
Newington,Connecticut,732.0
Morrisville,North Carolina,732.0
Middletown,New Jersey,732.0
Wethersfield,Connecticut,732.0
Mission Viejo,California,732.0
West Bend,Wisconsin,732.0
Murrells Inlet,South Carolina,732.0
Odessa,Florida,732.0
Canton,Michigan,732.0
Livonia,Michigan,732.0
Mount Prospect,Illinois,732.0
Greenwich,Connecticut,732.0
Elk Grove Village,Illinois,732.0
Lafayette,Colorado,732.0
River Falls,Wisconsin,732.0
Portsmouth,New Hampshire,731.0
Mamaroneck,New York,731.0
Perrysburg,Ohio,731.0
Thousand Oaks,California,731.0
Midlothian,Virginia,731.0
Schererville,Indiana,731.0
Mount Joy,Pennsylvania,731.0
Suwanee,Georgia,731.0
Bozeman,Montana,731.0
Fort Mill,South Carolina,731.0
Gainesville,Virginia,731.0
Yorktown,Virginia,731.0
Helotes,Texas,731.0
Seattle,Washington,722.0
Plano,Texas,720.0
Saint Paul,Minnesota,718.0
Honolulu,Hawaii,718.0
San Jose,California,715.0
Minneapolis,Minnesota,710.0
Portland,Oregon,710.0
Naples,Florida,708.0
Alexandria,Virginia,707.0
New York,New York,706.0
Spring,Texas,706.0
Staten Island,New York,702.0
Pittsburgh,Pennsylvania,699.0
Katy,Texas,699.0
Omaha,Nebraska,696.0
San Diego,California,696.0
Marietta,Georgia,693.0
Vancouver,Washington,689.0
Spokane,Washington,689.0
Raleigh,North Carolina,688.0
Colorado Springs,Colorado,687.0
Silver Spring,Maryland,687.0
Salt Lake City,Utah,686.0
Knoxville,Tennessee,686.0
Brooklyn,New York,684.0
Virginia Beach,Virginia,682.0
Oakland,California,682.0
Austin,Texas,682.0
Denver,Colorado,680.0
Grand Rapids,Michigan,677.0
Anaheim,California,677.0
Cincinnati,Ohio,677.0
Tucson,Arizona,676.0
Lexington,Kentucky,676.0
Washington,District of Columbia,674.0
Fort Wayne,Indiana,674.0
Albuquerque,New Mexico,673.0
Rochester,New York,673.0
Buffalo,New York,672.0
Aurora,Colorado,672.0
Tacoma,Washington,671.0
Dayton,Ohio,671.0
Pompano Beach,Florida,670.0
Mesa,Arizona,669.0
Santa Ana,California,669.0
Louisville,Kentucky,669.0
Wichita,Kansas,669.0
Nashville,Tennessee,668.0
Sacramento,California,668.0
Los Angeles,California,668.0
Saint Petersburg,Florida,667.0
Fort Lauderdale,Florida,667.0
Hollywood,Florida,666.0
Saint Louis,Missouri,666.0
Reno,Nevada,666.0
Riverside,California,665.0
Kansas City,Missouri,665.0
Long Beach,California,661.0
Miami,Florida,661.0
Charlotte,North Carolina,660.0
Hialeah,Florida,657.0
Chicago,Illinois,654.0
Columbus,Ohio,654.0
Atlanta,Georgia,654.0
,,
